OBJECTID,ZIP_CODE,AdminOffice
1491,95385,KH
1492,95386,KH
1493,95387,KH
1494,95391,KH
1495,95601,KH
1496,95602,KH
1497,95603,KH
1498,95605,KH
1499,95608,KH
1500,95610,KH
1501,95612,KH
1502,95614,KH
1503,95615,KH
1504,95618,KH
1505,95619,KH
1506,95621,KH
1507,95623,KH
1508,95624,KH
1509,95626,KH
1510,95628,KH
1511,95629,KH
1512,95630,KH
1513,95631,KH
1514,95632,KH
1515,95633,KH
1516,95634,KH
1517,95635,KH
1518,95636,KH
1519,95638,KH
1520,95640,KH
1521,95641,KH
1522,95642,KH
1523,95645,KH
1524,95648,KH
1525,95650,KH
1526,95651,KH
1527,95652,KH
1528,95655,KH
1529,95658,KH
1530,95659,KH
1531,95660,KH
1532,95661,KH
1533,95662,KH
1534,95663,KH
1535,95664,KH
1536,95665,KH
1537,95666,KH
1538,95667,KH
1539,95668,KH
1540,95669,KH
1541,95670,KH
1542,95672,KH
1543,95673,KH
1544,95674,KH
1545,95676,KH
1546,95677,KH
1547,95678,KH
1548,95681,KH
1549,95682,KH
1550,95683,KH
1551,95684,KH
1552,95685,KH
1553,95686,KH
1554,95689,KH
1555,95690,KH
1556,95691,KH
1557,95692,KH
1558,95693,KH
1559,95699,KH
1560,95701,KH
1561,95703,KH
1562,95709,KH
1563,95713,KH
1564,95714,KH
1565,95715,KH
1566,95717,KH
1567,95720,KH
1568,95721,KH
1569,95722,KH
1570,95724,KH
1571,95726,KH
1572,95728,KH
1573,95735,KH
1574,95736,KH
1575,95742,KH
1576,95746,KH
1577,95747,KH
1578,95757,KH
1579,95758,KH
1580,95762,KH
1581,95765,KH
1582,95776,KH
1583,95811,KH
1584,95814,KH
1585,95815,KH
1586,95816,KH
1587,95817,KH
1588,95818,KH
1589,95819,KH
1590,95820,KH
1591,95821,KH
1592,95822,KH
1593,95823,KH
1594,95824,KH
1595,95825,KH
1596,95826,KH
1597,95827,KH
1598,95828,KH
1599,95829,KH
1600,95830,KH
1601,95831,KH
1602,95832,KH
1603,95833,KH
1604,95834,KH
1605,95835,KH
1606,95836,KH
1607,95837,KH
1608,95838,KH
1609,95841,KH
1610,95842,KH
1611,95843,KH
1612,95864,KH
1613,95901,KH
1614,95903,KH
1615,95910,KH
1616,95914,KH
1617,95918,KH
1618,95919,KH
1619,95922,KH
1620,95925,KH
1621,95935,KH
1622,95936,KH
1623,95944,KH
1624,95945,KH
1625,95946,KH
1626,95948,KH
